מפה,שם שכבה,מידע להצגה
בסיס - תמיד דלוק,רקע שחור,
בסיס - תמיד דלוק,SEA,
תחבורה ומועצות,שבילים,
תחבורה ומועצות,שבילי אופניים שקמה,SHVIL_NAME
תחבורה ומועצות,שביל הנגב המערבי,Name
תחבורה ומועצות,סעד,Name
תחבורה ומועצות,סינגלים,Name
תחבורה ומועצות,במה,Name
תחבורה ומועצות,שבילי אופניים,"SHVIL_NAME
STATUS"
תחבורה ומועצות,מסלולי רכבת,Layer
תחבורה ומועצות,תחנות רכבת,"Name
STATUS"
תחבורה ומועצות,מרכז תחבורה קיים ,
תחבורה ומועצות,מרכז תחבורה מתוכנן,
תחבורה ומועצות,דרכים אזוריות,Name
תחבורה ומועצות,דרכים מקומיות,
תחבורה ומועצות,דרכים ארציות,"Name
"
תחבורה ומועצות,דרכי עפר,
תחבורה ומועצות,מועצות אזוריות,Muni_Heb
ייעודי קרקע,ספורט,KVUZ_TRG
ייעודי קרקע,בית עלמין,"MAVAT_NAME
STATION_DESC
KVUZ_TRG"
ייעודי קרקע,תחבורה,KVUZ_TRG
ייעודי קרקע,כריה וחציבה,KVUZ_TRG
ייעודי קרקע,מתקני הנדסה,KVUZ_TRG
ייעודי קרקע,שטח לדרכים,KVUZ_TRG
ייעודי קרקע,אחסנה,KVUZ_TRG
ייעודי קרקע,חניון,"MAVAT_NAME
STATION_DESC
"
ייעודי קרקע,שטחי אש,FZ_NAME
ייעודי קרקע,חקלאות מרעה ותעשייה,"MAVAT_NAME
STATION_DESC
KVUZ_TRG
PL_NAME"
ייעודי קרקע,שטחים פתוחים,"MAVAT_NAME
STATION_DESC
KVUZ_TRG
PL_NAME"
ייעודי קרקע,מוסדות ציבור,"MAVAT_NAME
STATION_DESC
KVUZ_TRG
PL_NAME"
ייעודי קרקע,תיירות ונופש,"MAVAT_NAME
STATION_DESC
KVUZ_TRG
"
ייעודי קרקע,תעשייה ומלאכה,"MAVAT_NAME
STATION_DESC
KVUZ_TRG
PL_NAME"
ייעודי קרקע,מסחר ומשרדים,"MAVAT_NAME
STATION_DESC
KVUZ_TRG
PL_NAME"
ייעודי קרקע,תעסוקה,"MAVAT_NAME
STATION_DESC
KVUZ_TRG
PL_NAME"
ייעודי קרקע,מעורב עם מסחר,KVUZ_TRG
ייעודי קרקע,מעורב עם מגורים,KVUZ_TRG
ייעודי קרקע,מגורים,"MAVAT_NAME
STATION_DESC
KVUZ_TRG
PL_NAME"
"""ירוקים""",נחלים,NAME
"""ירוקים""",מישורי הצפה,סוג_פ
"""ירוקים""",שמורות טבע,"MAVAT_NAME
NAME
STATUS
STATION_DESC"
